resource_name,settlement_point,hsl,qse,company,capacity_mw,site,eff_capacity_mw,duration_hours,da_energy_rev,rt_energy_rev,deviation_penalty,regup_rev,regdn_rev,rrs_rev,ecrs_rev,nonspin_rev,total_rev,rank,optimization_rate
CARTWHL_ESR1,CARTWHL_RN,150.0,QECNR,YEONCR,,,150.0,1.87,0.0,1147278.4483072245,0.0,0.0,0.0,0.0,0.0,0.0,1147278.4483072245,53,53.26436570711483
ANTL_ESS_ESR1,ANTL_ESS_ES1,70.0,QSU100,ENGIE,72.4,Antlia BESS,72.4,1.93,604724.7745833333,192989.871575,0.0,40072.76127116266,17901.555400135658,92970.17997947749,120909.38444474636,66983.95599477451,1136552.48324863,54,92.14923516828974
SMTH_ESS_ESR1,SMTH_ESS_RN,125.0,QSUE77,YBTSMS,,,125.0,2.04,298369.63933333335,634038.4459574582,0.0,23004.111149431745,32396.009066307768,29631.669791234035,36248.07903186673,76065.65179749927,1129753.6061271313,55,136.1643813358459
MADERO_ESR1,MADERO_RN,100.0,QTEN25,Eolian,100.0,Madero Grid 1,100.0,2.73,350724.5755,402094.669762825,0.0,1234.54786591864,2639.7720385552425,124630.4901437898,36883.54829788477,208977.64529139537,1127185.248900369,56,92.7981509375209
PLATINUM_ESR2,PLATINUM_RN,136.0,QSUE99,YSUEZ,,,136.0,1.84,544322.7679999999,429214.90753110003,0.0,33466.52402425657,12770.049726432335,44200.04017480978,27063.67882175674,30338.51578981845,1121376.4840681737,57,94.85026706129518
TDWLPR_1_ESR2,TDWLPR_1_RN,0.0,QMEA6,Jupiter Power,102.0,Tidwell Prairie Storage U1,102.0,1.96,53906.56233333333,583489.7846002916,0.0,499.5828949467706,2147.0493796846076,29153.051828191295,120383.67105585644,270657.0015298998,1060236.703622204,58,115.97304972794744
WIG_ESS_ESR1,WIG_BESS_RN,120.0,QHEI1,UBS Asset Management,122.9,Wigeon Whistle BESS,122.9,1.42,577465.4236666667,143440.67419916668,0.0,1251.8318169566808,907.1699322438313,196997.74518938616,52883.186513261164,74102.30848697308,1047048.3398046542,59,88.02899341432547
TDWLPR_1_ESR1,TDWLPR_1_RN,0.0,QMEA6,Jupiter Power,102.0,Tidwell Prairie Storage U1,102.0,1.96,53954.32233333334,567048.864124625,0.0,499.6198672968989,1119.3262655591343,27772.84713578388,120306.38214796653,272123.3167811389,1042824.6786557034,60,120.23106482688124
JADE_SLR_ESR2,JADE_SLR_ALL,81.9,QIPLUM,Intersect Power,80.4,Jade Storage SLF 1,80.4,1.99,530466.17325,315378.2562253,0.0,12161.260687276166,8357.585384130844,49766.23531227106,16576.75649545296,94458.37183212726,1027164.6391865582,61,118.12349317163242
ALP_BESS_ESR1,ALP_BESS_RN,100.3,QHEI1,YHABIT,,,100.3,1.43,487658.5695833334,288561.1330775,0.0,851.1852328969302,635.0142200346461,136504.3891908379,46029.37076684977,62437.55807776857,1022677.220149221,62,68.70423151944986
ELZA_SLR_ESR1,ELZA_SLR_RN,100.0,QENE16,Enel North America,100.0,Eliza Storage,100.0,1.79,400697.73800000007,315115.95549438335,0.0,0.0004370214054984,837.0717077998645,109790.10876728644,81331.78107171692,112730.91568044329,1020503.5711586514,63,73.03120561631366
