DATETIME,ERCOT (LOAD_FORECAST),ERCOT (NET_LOAD_FORECAST_BID_CLOSE),ERCOT (WIND_STWPF_BIDCLOSE),ERCOT (WIND_COPHSL_BIDCLOSE),ERCOT (SOLAR_COPHSL_BIDCLOSE),ERCOT (RTLOAD),ERCOT (WIND_RTI),ERCOT (SOLAR_GENERATION),HOURENDING,MARKETDAY,PEAKTYPE,MONTH,YEAR 
02/13/2026 01:00:00,43963.330261,23135.0063,20446.6,19717.2,0,43726.17,20248.04,,1,02/13/2026,OFFPEAK,FEBRUARY,2026
02/13/2026 02:00:00,42513.589966,22858.1009,19506.9,18802.4,0,42524.82,19764.72,,2,02/13/2026,OFFPEAK,FEBRUARY,2026
02/13/2026 03:00:00,41743.670654,23283.8926,18188.7,17504.7,0,41814.93,18916.16,,3,02/13/2026,OFFPEAK,FEBRUARY,2026
02/13/2026 04:00:00,41615.860107,24485.9722,16687.1,16046.2,0,41663.02,17070.08,,4,02/13/2026,OFFPEAK,FEBRUARY,2026
02/13/2026 05:00:00,42226.200073,26562.3014,15256.3,14664.4,0,41972,14774.33,,5,02/13/2026,OFFPEAK,FEBRUARY,2026
02/13/2026 06:00:00,43616.092102,29950.9276,13830.2,13294,0,43700.63,13193.76,,6,02/13/2026,OFFPEAK,FEBRUARY,2026
02/13/2026 07:00:00,46533.293274,34171.268,12629.7,12178.2,0,46369.39,11805.25,,7,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 08:00:00,47697.230347,35694.085,11729.8,11296.4,818.7,47555.34,10989.5,,8,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 09:00:00,47701.209717,30291.1856,10678.1,10250.8,7466.3,48296.51,10137.04,,9,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 10:00:00,48788.369812,25381.1501,9648.1,9253.6,14323,49134.18,9438.19,,10,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 11:00:00,49720.960205,22940.2101,9739.8,9359.7,17376.1,49944.11,9375.47,,11,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 12:00:00,50362.019287,21125.4104,10369.5,9943.1,19044.9,50616.84,10555.19,,12,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 13:00:00,51114.690186,20286.6208,11159.3,10773.7,19606.8,51343.3,11887.67,,13,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 14:00:00,52310.930054,20068.2208,12791.6,12365.6,19139.1,52455.95,13525.4,,14,02/13/2026,WDPEAK,FEBRUARY,2026
02/13/2026 15:00:00,53371.370605,20360.9202,14922.8,14460.4,17490.4,53002.7,16152.83,,15,02/13/2026,WDPEAK,FEBRUARY,2026
