node,net_revenue,offer_revenue,bid_revenue,days_active,total_offer_mw,total_bid_mw,hsl,rank
ESTONIAN_ALL,92.54675000000077,1625.6122500000001,-1533.0655,181.0,2805.5,-1974.0,101.6,123
CNTYRDS_RN,90.83900000000051,404.33825,-313.4992499999996,124.0,387.29999999999995,-14417.7,0.0,124
FALFUR_RN2,83.53575000000004,251.49350000000007,-167.95775,88.0,767.5,-44.8,9.8,125
PAVLOV_BT_RN,61.14799999999968,-1096.9705000000001,1158.1185,183.0,2245.5,-4228.700000000001,9.9,126
HDNLAKES_RN,53.66525000000003,-105.32349999999994,158.98875,36.0,108.3,-62.9,0.0,127
APPLE_RN,28.10999999999996,0.0,28.10999999999996,15.0,0.0,-60.0,0.0,128
SAH_RN,21.891499999999983,51.88399999999997,-29.992499999999993,27.0,18.3,-12.0,200.0,129
RN_PAD3_ESS,0.0,0.0,0.0,102.0,0.0,0.0,0.0,130
PAD2_ESS_RN,0.0,0.0,0.0,18.0,0.0,0.0,150.0,131
DRAK_ESS_RN,0.0,0.0,0.0,17.0,0.0,0.0,150.0,132
BIRD_ESR1,0.0,0.0,0.0,7.0,0.0,0.0,0.0,133
BCNV2_ES_RN,0.0,0.0,0.0,19.0,0.0,0.0,0.0,134
HNY_COMB_RN,0.0,0.0,0.0,77.0,0.0,0.0,61.5,135
HEN_RN,-2.1504999999999868,25.28700000000001,-27.437499999999996,88.0,22.200000000000003,-11.0,150.0,136
APPLE_ESR_RN,-30.069249999999997,221.33775,-251.40699999999998,89.0,34.2,-31.4,0.0,137
ELM_ST_RN2,-35.18350000000001,-15.5835,-19.6,84.0,12.9,-3.0,9.9,138
ALAMO_ST_RN,-38.55900000000003,-44.50150000000002,5.942499999999999,89.0,20.2,-64.0,9.9,139
ODESW_RN,-79.01169999999911,-14191.187700000004,14112.176000000003,182.0,3666.3,-26516.199999999997,10.0,140
LIGSW_RN,-88.50875000000002,274.5025,-363.0112499999996,176.0,606.9,-1602.6,9.8,141
BYRDR_ES_ALL,-112.58075000000002,-116.34250000000004,3.7617500000000064,129.0,107.2,-83.5,50.0,142
DESN_ESS_RN,-113.25499999999998,18.12749999999997,-131.38249999999996,30.0,15.4,-44.0,200.0,143
RBN_BESS1,-133.94275000000096,1568.7549999999999,-1702.69775,175.0,608.4,-1372.0,100.0,144
RTLSNAKE_BT,-166.8027499999999,272.1355,-438.9382500000001,167.0,314.5,-854.2,9.9,145
FRMRSVLW_RN,-199.16175000000004,-648.2360000000001,449.07425,174.0,522.7,-672.7,9.9,146
KEG_RN,-269.14,-302.50250000000005,33.36250000000003,86.0,99.0,-25.0,0.0,147
DA_BESS,-341.861,1417.47025,-1759.3312500000002,107.0,385.70000000000005,-1069.8,5.0,148
CEDRVALE_RN,-382.0869999999999,526.6935000000001,-908.7805,175.0,196.20000000000002,-1006.8000000000001,9.9,149
SLK_BESS_RN,-430.97775,-518.44525,87.46749999999999,30.0,132.9,-13.4,200.0,150
HLY_RN,-475.57479999999987,-1434.50425,958.9294500000001,176.0,891.9,-1905.8000000000002,102.2,151
WLTC_ESR_RN,-475.80225,238.91049999999996,-714.71275,112.0,304.90000000000003,-575.3,9.9,152
HARLIN_1_RN,-500.5037500000003,483.01324999999974,-983.5169999999998,127.0,4356.1,-2637.5,0.0,153
BAYC_BESS_RN,-551.4467500000001,-739.1395000000002,187.69275000000007,175.0,6371.700000000001,-408.1,9.9,154
CTW_RN,-606.5885499999995,1123.7146500000001,-1730.3032,179.0,2495.1,-1009.8,150.0,155
MYRY_ESR_RN,-680.98075,60.092750000000024,-741.0734999999999,172.0,430.1,-253.6,9.9,156
DA_BESS2,-701.0680000000001,-483.2525,-217.8155,74.0,262.4,-379.1,9.9,157
TURQ_BESS1,-733.3162499999995,-580.6114999999999,-152.70475000000008,130.0,416.1,-294.7,188.0,158
ABINDUST_RN,-779.989,668.0469999999999,-1448.0359999999996,142.0,677.9,-3130.4,9.9,159
ELM_ST_RN,-932.9844999999996,9.813000000000045,-942.7974999999997,123.0,92.5,-12446.1,0.0,160
OR_BESS_RN,-991.6830000000001,218.13249999999988,-1209.8155000000002,158.0,342.79999999999995,-484.6,9.9,161
BRPANGLE_RN,-1001.47,-167.99524999999971,-833.4747500000002,165.0,2769.2,-1254.3,10.0,162
TNFS_RN,-1044.8815,-1065.3490000000002,20.467499999999998,89.0,156.2,-5.0,9.9,163
DGFS_ESR_RN,-1140.9025,-466.7647500000001,-674.1377499999999,169.0,246.2,-540.5,75.0,164
EMPCT_RN,-1302.9490000000003,808.2972500000001,-2111.24625,174.0,712.3000000000001,-2183.7,9.9,165
PEARSALL_RN,-1320.90125,-1930.1115,609.2102500000001,146.0,1573.5,-546.5,9.9,166
MYRY_BES2_RN,-1344.93298,-980.3492299999999,-364.58374999999995,121.0,751.1999999999999,-658.7,9.9,167
ADL_RN,-1359.6080000000002,234.79200000000003,-1594.4000000000008,183.0,1628.6,-4851.6,60.0,168
HEARN_RD_RN,-1489.0554999999986,-2181.9707499999995,692.91525,178.0,18946.7,-765.4000000000001,9.8,169
CARA_ESS_RN,-1498.48,-150.8335,-1347.6465,91.0,79.9,-80.3,98.3,170
LYNX_ESS_RN,-1517.3122499999997,-1877.70175,360.38950000000006,40.0,555.6,-215.0,20.0,171
DKNS_ESS_RN,-1549.7179999999998,1316.7574999999997,-2866.4755,111.0,809.3,-1084.2,50.0,172
FAULKNER_RN,-1603.7811199999999,-429.23,-1174.55112,141.0,74.80000000000001,-1101.2,9.9,173
WR_RN,-1689.9255000000003,-648.232,-1041.6935,99.0,380.5,-144.2,9.9,174
NEDIN_RN,-1765.3304999999998,-1391.8807499999998,-373.4497500000001,117.0,518.6,-2001.1,0.0,175
ELZA_SLR_RN,-1841.1326999999999,-1921.4632500000005,80.33055000000024,179.0,1479.4,-1300.3000000000002,100.0,176
RIOG_ESR2_RN,-1896.03752,1413.6244800000004,-3309.662,171.0,939.1,-4170.5,7.0,177
PIN_BESS_RN,-1912.9370000000008,-648.3085,-1264.6285,123.0,1922.3,-10776.3,200.0,178
GOMZ_RN,-1919.03395,-733.42845,-1185.6055000000001,174.0,301.1,-1256.3999999999999,9.9,179
SHAMROCK_RN,-1948.8962499999961,5247.620750000002,-7196.517,184.0,28426.0,-5553.4,99.3,180
BRP_LOOP_RN,-2101.180749999999,2055.213750000001,-4156.3945,182.0,7675.400000000001,-4957.799999999999,10.0,181
SBEAN_BESS,-2173.5957500000004,-619.5072500000001,-1554.0884999999998,160.0,119.3,-788.6,9.9,182
CARN_ESS_RN,-2228.03475,2452.58725,-4680.622,181.0,3348.3,-6223.4,150.0,183
OLMITO_RN,-2297.45675,-534.3399999999999,-1763.1167499999997,175.0,974.6,-6072.3,9.9,184
MNWL_BESS_RN,-2363.7512499999993,-3542.999,1179.24775,178.0,1763.6,-731.8,9.9,185
SADLBACK_RN,-2438.1574999999993,160.77000000000058,-2598.9275000000002,177.0,826.8,-1333.4,9.9,186
CITRUSCY_RN,-2568.75002,-1271.13402,-1297.6159999999998,171.0,857.8,-583.3000000000001,9.9,187
CHISMGRD_RN,-2669.1115,-67.21275,-2601.8987500000003,35.0,48.3,-905.2,0.0,188
SWOOSEII_RN,-2861.4489999999996,-2003.83925,-857.6097500000002,177.0,140.8,-7515.6,100.0,189
JUNCTION_RN,-2925.8542499999967,16379.856500000004,-19305.71075,184.0,12351.6,-5683.0,9.9,190
FLTBES1,-2944.0955,729.3579999999997,-3673.4535,176.0,1175.2,-1572.8000000000002,8.5,191
WRSBES_BESS1,-2949.4655,1649.12075,-4598.586249999999,177.0,2121.6,-1794.1999999999998,9.7,192
MESQUITE_RN,-3032.7699999999995,-2856.76425,-176.00574999999992,139.0,3157.3,-6671.3,9.9,193
STAM_SLR_ALL,-3037.28425,768.8507499999995,-3806.135,179.0,1719.0,-1693.5,70.0,194
VERT_ESS_RN,-3112.559,-4016.3624999999997,903.8035,32.0,47.9,-75.3,200.0,195
PAULN_RN,-3280.1852499999995,-3200.4610000000002,-79.72424999999953,182.0,769.6,-1494.0,9.9,196
JUNORTH_RN,-3345.4879999999966,5901.004249999998,-9246.492249999996,184.0,4925.0,-3266.0,9.9,197
BRP_ZPT2_RN,-3496.06725,-703.5477499999998,-2792.5195000000012,182.0,2621.5,-7092.7,10.0,198
MADERO_RN,-3518.8595,-3938.07925,419.21975000000043,180.0,3808.1,-2639.8,100.0,199
WAL_RN,-3693.313,-4258.444500000001,565.1314999999997,180.0,3030.7,-3992.7,200.0,200
