node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw,rank
ALAMO_ST_RN,-24.27400000000003,-30.92150000000003,6.647500000000003,105,0.0,8.254285714285714,7.6899999999999995,21.2,-68.0,112
ELM_ST_RN2,-46.431000000000004,-15.513499999999993,-30.917500000000004,100,9.9,5.0,4.9995,15.9,-5.0,113
LMO_ESR_RN,-59.22040999999938,-924.66866,865.4482500000003,200,100.0,36.941,16.9554,480.0,-2918.0,114
HEN_RN,-85.97049999999999,29.21700000000001,-115.18749999999999,104,20.0,9.614423076923076,7.757884615384615,23.2,-33.0,115
RN_BY_ESR1,-171.69675000000026,-1229.01225,1057.3154999999995,140,9.9,21.52714285714286,8.108571428571429,1042.7,-3678.3,116
DESN_ESS_RN,-181.27499999999998,41.397499999999965,-222.67249999999996,46,200.0,18.58695652173913,11.069999999999999,17.4,-61.0,117
FERD_ESS_RN,-313.6025000000001,1038.9975,-1352.6000000000001,30,200.0,38.03666666666666,25.942999999999998,121.0,-336.0,118
GAIA_SLR_RN,-364.78800000000024,662.5745,-1027.3625000000002,122,0.0,17.17622950819672,6.801967213114754,341.6,-556.0,119
RN_RHN_ESR,-365.7910000000001,-948.6780000000001,582.887,121,0.0,24.116528925619836,10.540247933884297,233.9,-738.8,120
LIGSW_RN,-460.37999999999994,20.822499999999955,-481.2024999999996,192,9.8,38.08958333333333,15.778854166666667,673.6,-1684.5,121
LK_RN,-479.79324999999983,-1165.8295000000003,686.0362500000001,53,0.0,42.29433962264151,21.587924528301883,307.8,-565.5,122
LOWR_ESS_RN,-563.8453399999997,-2449.35909,1885.51375,184,60.0,32.74021739130435,15.233260869565216,927.8,-4304.2,123
FRMRSVLW_RN,-606.4089999999999,-887.72325,281.3142499999999,190,9.9,34.27684210526316,15.334789473684209,593.4,-743.0,124
RTLSNAKE_BT,-611.00983,274.63699999999994,-885.6468300000001,183,9.9,34.85628415300546,21.715846994535518,331.3,-1010.9,125
DA_BESS2,-712.2205,-483.25250000000005,-228.968,88,5.0,39.304545454545455,15.681931818181818,262.4,-400.1,126
MYRY_ESR_RN,-782.4317499999999,57.670250000000046,-840.1019999999999,188,9.9,27.06276595744681,14.877659574468085,434.1,-275.5,127
HLY_RN,-822.9015499999998,-1356.08175,533.1802000000002,192,102.2,35.969791666666666,19.445104166666663,970.9,-1961.9,128
KEG_RN,-884.6,-405.57500000000005,-479.025,102,0.0,4.9450980392156865,1.9831372549019608,115.0,-138.0,129
DA_BESS,-894.68016,937.3395899999999,-1832.0197500000004,123,5.0,43.43658536585366,24.78463414634146,624.3000000000001,-1146.3,130
ANOL_ESS_RN,-944.3946600000004,227.65683999999993,-1172.0515,183,240.0,34.60382513661202,18.403278688524587,1019.7,-7041.1,131
BLUEJAY_RN,-1013.5310000000006,4424.520000000003,-5438.0509999999995,200,50.0,38.65,13.4908,42317.3,-9658.800000000001,132
PINEFRST_RN,-1035.0967000000014,1063.8405499999988,-2098.93725,185,200.0,33.524324324324326,16.264108108108108,3077.1,-3343.6,133
ALP_BESS_RN,-1091.7596600000004,1586.49834,-2678.258,199,100.3,41.38994974874372,13.326984924623114,1698.0,-8200.1,134
ELM_ST_RN,-1148.2192499999996,-216.50575,-931.7134999999993,139,0.0,30.153237410071945,18.35848920863309,210.0,-12481.4,135
MYRY_BES2_RN,-1191.04564,-567.9953899999998,-623.0502500000001,137,9.9,52.9007299270073,15.883138686131385,888.7,-708.2,136
BYRDR_ES_ALL,-1234.0497500000001,-1215.672,-18.37775000000001,145,50.0,21.799310344827585,16.72689655172414,277.7,-101.9,137
HARLIN_1_RN,-1339.0287499999997,395.5507499999998,-1734.5795000000003,143,0.0,31.347552447552445,6.184125874125874,4431.1,-2811.5,138
TNFS_RN,-1356.2440000000001,-1090.724,-265.52,105,9.9,9.166666666666666,7.634761904761905,160.2,-27.0,139
RBN_BESS1,-1456.5400000000009,779.1727499999998,-2235.71275,191,100.0,32.29214659685864,18.11026178010471,869.6,-1579.4,140
OR_BESS_RN,-1529.5688400000001,-36.40684000000002,-1493.1620000000003,174,9.9,26.367816091954023,13.383850574712643,404.1,-662.4,141
WLTC_ESR_RN,-1565.78133,-748.11483,-817.6665,128,9.9,48.38359375,29.815625,452.3,-603.2,142
DKNS_ESS_RN,-1574.4205000000002,1290.8575,-2865.2780000000002,126,50.0,46.94920634920635,22.384126984126986,814.3,-1093.2,143
FAULKNER_RN,-1614.18487,-435.085,-1179.09987,157,9.9,26.029299363057323,20.77872611464968,76.8,-1110.7,144
LYNX_ESS_RN,-1615.8522499999997,-1877.70175,261.84950000000015,56,0.0,33.93928571428571,20.405892857142856,555.6,-256.0,145
TURQ_BESS1,-1635.0114,-1386.6728999999996,-248.33850000000004,146,188.0,30.253424657534246,15.961986301369862,610.5,-348.1,146
CNTYRDS_RN,-1714.59225,-1358.708,-355.8842499999998,140,0.0,30.039285714285715,13.055571428571428,481.3,-14435.199999999999,147
