rank,node,net_revenue,offer_revenue,bid_revenue,total_offer_mw,total_bid_mw,win_rate,avg_win_rate,profit_loss_ratio,avg_profit_loss_ratio,participation_rate,avg_dart_spread,hsl,days_active
177,ESTONIAN_ALL,-3572.5822499999995,997.2114999999999,-4569.793750000001,4715.099999999999,-2484.0,40.36302521008403,47.34318950930626,2.9181932773109245,6.876192893401015,2.0911764705882354,1.7335407913165266,101.6,203.0
178,ABINDUST_RN,-3628.8995000000004,281.8887499999999,-3910.78825,914.1,-3705.3,30.581932773109244,39.868565400843885,1.3332773109243699,15.790791139240504,8.027731092436975,-1.1613769257703082,9.9,164.0
179,LANTANA_RN,-4000.69008,-518.26258,-3482.4275,832.4,-2580.1000000000004,29.712605042016808,39.87561728395062,8.114201680672268,11.778148148148148,28.29915966386555,-0.2661917892156863,9.9,168.0
180,MADERO_RN,-4064.4719999999998,-4046.57675,-17.89525000000012,3894.6,-3000.4,31.764705882352942,18.57755102040816,24.610798319327728,7.55704081632653,0.3365546218487395,-0.2608906687675069,100.0,202.0
181,IND_INADALE1,-4145.569249999998,8847.66425,-12993.233499999997,13222.5,-7150.5,31.81890756302521,44.185,1.1147478991596638,7.872741666666667,72.80084033613446,0.38954394257703095,9.9,206.0
182,ADL_RN,-4184.6894600000005,-178.46670999999998,-4006.222750000001,2514.8999999999996,-5428.499999999999,37.64663865546219,46.95418760469012,0.9699579831932773,6.17574539363484,2.78109243697479,0.8847483368347339,0.0,205.0
183,HWY6_RN,-4276.800749999999,-4566.0895,289.2887500000001,3354.6,-671.5,41.034033613445374,37.961870503597126,38.790882352941175,31.01929856115108,1.430672268907563,0.1346257878151261,0.0,145.0
184,GZ_RN,-4499.525079999998,-536.4388300000003,-3963.0862500000003,23377.2,-2380.9,35.3609243697479,46.39368686868686,4.5685714285714285,7.933434343434344,48.234453781512606,0.5711532738095239,9.9,204.0
185,MESQUITE_RN2,-4507.56175,-3295.23,-1212.3317499999998,2388.2,-1389.0,24.356302521008402,42.05428921568628,8.109369747899159,24.950257352941176,0.0,-0.12085653011204474,0.0,142.0
186,LFSTH_RN,-4787.6028400000005,-4027.70584,-759.8969999999999,504.2,-1231.1999999999998,41.160084033613444,56.71010498687664,5.967521008403361,17.82035433070866,2.1411764705882352,1.492464110644258,9.9,133.0
187,SANDLAKE_RN,-4908.4442,-425.057,-4483.3872,702.1999999999999,-2641.3,27.07941176470588,52.25127819548872,3.475924369747899,12.515187969924812,11.15672268907563,-0.10283263305322127,9.9,138.0
188,RIOG_ESR_RN,-4958.06025,-7858.535750000001,2900.4755000000005,1733.9,-1309.3,18.157142857142855,40.71428571428572,10.333571428571428,31.98400510204081,4.271428571428571,-0.12546437324929974,9.9,202.0
189,DGFS_ESR_RN,-4980.416090000001,-2468.57959,-2511.8365,1122.5,-951.6,30.69075630252101,41.96918918918919,3.6959663865546215,9.05831981981982,1.9550420168067228,-0.16825892857142855,75.0,191.0
190,WAL_RN,-4984.45159,-4471.64784,-512.8037500000003,3252.6000000000004,-4457.9,34.903361344537814,45.522619047619045,2.436638655462185,10.609328231292515,0.2630252100840336,0.5009125525210085,145.0,202.0
191,FLTBES1,-4987.015,77.97099999999979,-5064.986,1286.3,-1637.8,2.9411764705882355,35.41067708333333,2.9408823529411765,27.55505208333333,0.2365546218487395,-0.09708333333333333,8.5,198.0
192,STAM_SLR_ALL,-5132.45125,876.9122499999995,-6009.3635,3588.7,-2032.3,40.448739495798314,48.414487179487175,7.681848739495798,8.397461538461537,3.177310924369748,1.7442900910364147,70.0,201.0
193,WRSBES_BESS1,-5179.74975,831.4814999999995,-6011.23125,2259.9,-1880.2,8.2609243697479,27.3905872193437,5.976050420168067,20.568510362694298,0.6911764705882353,-0.14180453431372547,9.7,199.0
194,WZRD_ESS_RN,-5326.96285,-3787.852000000001,-1539.1108499999993,493.2,-521.4,43.57773109243698,31.90141025641025,7.967226890756302,14.167358974358974,0.3285714285714286,1.7613073354341737,71.0,136.0
195,L_FRE_ESR_RN,-5335.688419999999,-3399.36392,-1936.3245000000004,1585.8,-1418.3000000000002,29.92436974789916,38.642127303182576,2.669369747899159,5.877403685092128,8.255462184873949,-0.8365428046218492,9.9,205.0
196,SWT_BESS_RN,-5373.312620000001,-511.73810999999955,-4861.57451,12292.3,-7491.099999999999,34.15252100840336,42.34815745393635,3.9369327731092443,6.065787269681742,32.71638655462185,-1.2403549544817927,9.9,205.0
197,TOYAH_RN,-5445.13875,-1325.18625,-4119.952499999999,215.1,-7436.3,25.494957983193277,51.58932291666667,9.951218487394957,32.215182291666665,3.7642857142857147,-0.10553527661064424,6.6,198.0
198,RPUBRDS_RN,-5638.02459,96.07390999999916,-5734.0985,11892.7,-9881.7,39.46134453781512,48.81806260575296,24.58718487394958,24.19786802030457,8.823949579831933,0.40672443977591083,39.5,203.0
199,N_MRD_ESR_RN,-5770.83879,-4563.0800899999995,-1207.7587,3694.0,-3586.1,30.78235294117647,41.35175,0.792563025210084,9.3258,9.631932773109243,-0.8344870448179269,9.9,206.0
200,CTW_RN,-5909.63655,-2730.3383500000004,-3179.2982,4746.2,-1793.0,36.05210084033614,44.40166666666666,1.6796218487394958,7.161282051282051,1.6235294117647059,0.7032952556022412,150.0,201.0
201,SWOOSEII_RN,-5970.231499999999,-1952.3249999999998,-4017.9064999999996,180.0,-9549.1,27.81890756302521,42.986442141623485,11.067647058823528,14.07791450777202,1.7521008403361344,0.029618347338935605,38.9,199.0
202,BRP_LOP1_RN,-6522.570499999999,-5894.5464999999995,-628.0240000000006,8407.0,-6517.299999999999,31.785714285714285,33.54128205128205,0.7275630252100841,16.50883333333333,32.673109243697475,0.1827551645658263,9.9,201.0
203,HAMI_BESS_RN,-6592.217750000001,3926.2814999999996,-10518.499249999999,1108.9,-8164.8,28.355462184873947,52.52918781725889,0.8670588235294118,7.9730076142131985,11.739075630252103,0.031175157563025253,9.9,203.0
204,CNLY_ESS_RN,-6697.721659999999,-14011.63016,7313.9085,9575.7,-2584.4,37.20420168067227,44.06843434343435,2.4654201680672267,4.758005050505051,0.31176470588235294,1.0400266981792716,125.0,204.0
205,JAG_SLR_RN,-6713.44,8479.7555,-15193.1955,9637.199999999999,-9169.5,38.576050420168066,42.744514237855945,9.267310924369747,8.747579564489111,1.5180672268907562,1.289963672969188,150.0,205.0
206,FTDUNCAN_RN,-6819.075090000001,-5283.572590000001,-1535.5025,622.8,-4723.5,32.23697478991596,46.95555555555556,6.99764705882353,6.24042328042328,0.9903361344537814,0.20811580882352948,100.0,195.0
207,CR_RN,-6842.29191,-1980.10466,-4862.18725,757.6,-1401.8,35.95504201680672,46.17031680440772,2.7451260504201684,9.84488980716253,8.344957983193277,0.5643430497198879,9.8,127.0
208,MDWPK_RN,-6895.196,-8657.38775,1762.1917500000002,870.9,-2215.6,,28.61746031746032,,11.097539682539685,,,0.0,126.0
209,DSWL_BES1,-6925.758750000001,-1945.3757500000002,-4980.383000000001,1555.5,-2955.6000000000004,27.366386554621847,36.347771317829455,14.688361344537814,17.93066860465116,0.1684873949579832,0.796485906862745,150.0,178.0
210,MAINLAND_RN,-7194.7849,-7337.489689999999,142.7047899999998,1252.8,-1178.1,39.9063025210084,53.94948717948718,2.132983193277311,13.475461538461538,7.478571428571428,1.606025472689076,9.9,136.0
211,GRDNE_ESR_RN,-7589.918589999999,-3453.7585899999995,-4136.16,2649.8999999999996,-2464.8,31.988655462184877,42.26130653266332,0.3836134453781513,8.328613902847572,7.047058823529412,-0.8303356967787113,9.9,205.0
212,ELSA_ESR_RN,-7844.51905,-1632.2084999999997,-6212.31055,2292.8,-3449.7999999999997,44.082142857142856,35.13815566835871,7.836785714285714,5.353815566835872,18.192857142857143,0.24202752976190478,9.9,203.0
213,CS_RN,-7966.596660000003,-4999.599660000006,-2966.997,1819.3,-5319.0,36.51806722689076,46.301945854483925,3.1037394957983198,11.401010998307951,44.996638655462185,1.0575004376750698,9.9,203.0
214,JAR_RN,-8096.058249999999,2780.33275,-10876.390999999998,1517.8,-5253.9,32.556302521008405,34.48828257191201,2.6130252100840337,8.03248730964467,0.9310924369747899,0.18623380602240902,152.0,203.0
