rank,node,net_revenue,offer_revenue,bid_revenue,days_active,hsl,avg_win_rate,avg_profit_loss_ratio,total_offer_mw,total_bid_mw
75,JDKNS_RN,2285.2314199999996,4622.53375,-2337.3023299999995,206,9.9,44.80758333333334,12.526658333333334,2467.2000000000003,-22748.5
76,SLCN_ESS_ALL,2175.2777500000016,-790.3457499999995,2965.6235000000006,205,50.0,46.904773869346734,16.074773869346735,2357.2,-4144.8
77,CARTWHL_RN,2152.01575,-807.3992500000003,2959.415,119,150.0,18.354129793510324,15.498694690265484,299.9,-2335.5
78,POTEETS_RN,1948.1222500000001,1897.483,50.63925000000026,203,9.9,45.19699661590525,12.37002538071066,3992.8999999999996,-2936.4
79,TANZ_ESS_RN,1769.8847600000006,715.3942500000002,1054.4905099999999,192,128.8,32.428225806451614,24.64524193548387,813.3,-2597.2
80,TYNAN_RN,1470.1682500000004,1239.7777500000002,230.3905000000002,189,9.9,41.16666666666667,6.9449043715847,2025.8,-1344.8
81,MV_VALV4_RN,1336.5988000000004,-348.4239999999998,1685.0228000000004,203,9.9,40.33840947546531,19.238346023688663,3118.0,-3965.9
82,HEADCAMP_RN,1092.1752499999996,269.5587499999998,822.6165000000001,125,150.0,28.76687675070028,17.598879551820726,634.4,-1040.8
83,N_AL_BESS_RN,1052.15329,-1867.48741,2919.6407,200,9.9,40.287714776632306,10.671374570446735,1076.6,-1687.2
84,OLMITO_RN,1020.3986099999995,371.25890999999996,649.1397000000004,197,9.9,39.01662303664922,8.7571815008726,1241.4,-7341.799999999999
85,W_HRL_ESR_RN,842.1771799999992,-3630.9652699999997,4473.142449999999,201,9.9,25.46320512820513,6.1226666666666665,1323.8,-2945.4
86,FRMR_BS2_RN1,619.93725,-52.56224999999992,672.4994999999999,180,9.9,28.990517241379308,19.844597701149425,170.9,-316.3
87,BRP_DIKN_RN,616.890749999998,1079.6919099999982,-462.8011600000001,203,9.9,48.63401015228426,9.231218274111676,7131.8,-1566.5
88,AVIL_ESS_RN,593.99991,-836.83034,1430.83025,185,160.0,40.57565176908752,9.542071694599626,293.7,-794.7
89,PAD1_ESS_RN,557.30775,556.72325,0.5845000000000082,129,50.0,38.21727642276423,29.25465447154471,247.3,-173.10000000000002
90,COYOTSPR_RN,451.4217500000001,1816.60275,-1365.181,193,9.9,23.510873440285202,19.479772727272724,1241.2,-984.4
91,NCO_RN,417.30775000000017,765.037,-347.7292500000001,174,38.8,34.757738095238096,17.279226190476187,1306.0,-409.59999999999997
92,APPLE_ESR_RN,288.6955000000002,262.29775,26.39775000000023,111,0.0,29.96285714285714,5.67507142857143,40.2,-475.1
93,CACH_ESS_RN,266.70315999999997,917.82941,-651.12625,188,200.0,41.54120879120879,10.164853479853479,3243.1,-234.6
94,HRMS_SLR_RN,261.05500000000006,108.94000000000001,152.11500000000007,33,20.0,24.18888888888889,17.770648148148148,20.0,-164.0
95,ELMCRK_RN,177.74523999999968,692.5593399999998,-514.8141,130,9.9,36.01787634408602,5.22388440860215,1817.5,-5186.7
96,Z0_DGR2_RN,156.19,162.88,-6.689999999999994,109,9.9,7.03883495145631,6.246699029126213,78.5,-17.0
97,CNTRY_RN,151.97250000000014,-4167.338000000001,4319.3105000000005,193,9.8,42.123885918003566,11.344527629233513,1663.1,-3034.2
98,RN_RHN_ESR,94.38524999999998,-709.29925,803.6845,127,0.0,39.83326446280992,14.609290633608813,267.9,-881.8
99,HDNLAKES_RN,53.66525000000003,-105.32349999999995,158.98875,36,0.0,59.1,40.400277777777774,108.3,-62.9
